,city,value,table,subject,gender
62,宁    夏,3668938.0,1-5  各地区分年龄、性别的人口,合    计,男
63,新    疆,13354380.0,1-5  各地区分年龄、性别的人口,合    计,男
64,全    国,688362330.0,1-5  各地区分年龄、性别的人口,合    计,女
65,北    京,10697705.0,1-5  各地区分年龄、性别的人口,合    计,女
66,天    津,6721060.0,1-5  各地区分年龄、性别的人口,合    计,女
67,河    北,36931232.0,1-5  各地区分年龄、性别的人口,合    计,女
68,山    西,17110468.0,1-5  各地区分年龄、性别的人口,合    计,女
69,内 蒙 古,11773881.0,1-5  各地区分年龄、性别的人口,合    计,女
70,辽    宁,21327878.0,1-5  各地区分年龄、性别的人口,合    计,女
71,吉    林,12055134.0,1-5  各地区分年龄、性别的人口,合    计,女
72,黑 龙 江,15897620.0,1-5  各地区分年龄、性别的人口,合    计,女
73,上    海,11995684.0,1-5  各地区分年龄、性别的人口,合    计,女
74,江    苏,41716430.0,1-5  各地区分年龄、性别的人口,合    计,女
75,浙    江,30887580.0,1-5  各地区分年龄、性别的人口,合    计,女
76,安    徽,29923777.0,1-5  各地区分年龄、性别的人口,合    计,女
77,福    建,20073329.0,1-5  各地区分年龄、性别的人口,合    计,女
78,江    西,21870102.0,1-5  各地区分年龄、性别的人口,合    计,女
79,山    东,50094522.0,1-5  各地区分年龄、性别的人口,合    计,女
80,河    南,49533170.0,1-5  各地区分年龄、性别的人口,合    计,女
81,湖    北,28057839.0,1-5  各地区分年龄、性别的人口,合    计,女
82,湖    南,32449191.0,1-5  各地区分年龄、性别的人口,合    计,女
83,广    东,59138864.0,1-5  各地区分年龄、性别的人口,合    计,女
84,广    西,24210635.0,1-5  各地区分年龄、性别的人口,合    计,女
85,海    南,4736151.0,1-5  各地区分年龄、性别的人口,合    计,女
86,重    庆,15852026.0,1-5  各地区分年龄、性别的人口,合    计,女
87,四    川,41385148.0,1-5  各地区分年龄、性别的人口,合    计,女
88,贵    州,18856855.0,1-5  各地区分年龄、性别的人口,合    计,女
89,云    南,22788353.0,1-5  各地区分年龄、性别的人口,合    计,女
90,西    藏,1734512.0,1-5  各地区分年龄、性别的人口,合    计,女
91,陕    西,19302509.0,1-5  各地区分年龄、性别的人口,合    计,女
92,甘    肃,12318883.0,1-5  各地区分年龄、性别的人口,合    计,女
93,青    海,2890111.0,1-5  各地区分年龄、性别的人口,合    计,女
94,宁    夏,3533716.0,1-5  各地区分年龄、性别的人口,合    计,女
95,新    疆,12497965.0,1-5  各地区分年龄、性别的人口,合    计,女
96,全    国,11988057.0,1-5  各地区分年龄、性别的人口,0岁,小计
97,北    京,152730.0,1-5  各地区分年龄、性别的人口,0岁,小计
98,天    津,83049.0,1-5  各地区分年龄、性别的人口,0岁,小计
99,河    北,607434.0,1-5  各地区分年龄、性别的人口,0岁,小计
100,山    西,287747.0,1-5  各地区分年龄、性别的人口,0岁,小计
101,内 蒙 古,172951.0,1-5  各地区分年龄、性别的人口,0岁,小计
102,辽    宁,220080.0,1-5  各地区分年龄、性别的人口,0岁,小计
103,吉    林,116439.0,1-5  各地区分年龄、性别的人口,0岁,小计
104,黑 龙 江,119693.0,1-5  各地区分年龄、性别的人口,0岁,小计
105,上    海,124666.0,1-5  各地区分年龄、性别的人口,0岁,小计
106,江    苏,563212.0,1-5  各地区分年龄、性别的人口,0岁,小计
107,浙    江,459109.0,1-5  各地区分年龄、性别的人口,0岁,小计
108,安    徽,574882.0,1-5  各地区分年龄、性别的人口,0岁,小计
109,福    建,380993.0,1-5  各地区分年龄、性别的人口,0岁,小计
110,江    西,426822.0,1-5  各地区分年龄、性别的人口,0岁,小计
111,山    东,867809.0,1-5  各地区分年龄、性别的人口,0岁,小计
112,河    南,916045.0,1-5  各地区分年龄、性别的人口,0岁,小计
113,湖    北,476780.0,1-5  各地区分年龄、性别的人口,0岁,小计
114,湖    南,565517.0,1-5  各地区分年龄、性别的人口,0岁,小计
115,广    东,1290748.0,1-5  各地区分年龄、性别的人口,0岁,小计
116,广    西,567378.0,1-5  各地区分年龄、性别的人口,0岁,小计
117,海    南,104030.0,1-5  各地区分年龄、性别的人口,0岁,小计
118,重    庆,239426.0,1-5  各地区分年龄、性别的人口,0岁,小计
119,四    川,634562.0,1-5  各地区分年龄、性别的人口,0岁,小计
120,贵    州,525380.0,1-5  各地区分年龄、性别的人口,0岁,小计
121,云    南,515178.0,1-5  各地区分年龄、性别的人口,0岁,小计
122,西    藏,50388.0,1-5  各地区分年龄、性别的人口,0岁,小计
123,陕    西,352993.0,1-5  各地区分年龄、性别的人口,0岁,小计
124,甘    肃,263011.0,1-5  各地区分年龄、性别的人口,0岁,小计
125,青    海,67254.0,1-5  各地区分年龄、性别的人口,0岁,小计
126,宁    夏,83027.0,1-5  各地区分年龄、性别的人口,0岁,小计
127,新    疆,178724.0,1-5  各地区分年龄、性别的人口,0岁,小计
128,全    国,6312409.0,1-5  各地区分年龄、性别的人口,0岁,男
129,北    京,79388.0,1-5  各地区分年龄、性别的人口,0岁,男
130,天    津,43247.0,1-5  各地区分年龄、性别的人口,0岁,男
131,河    北,316473.0,1-5  各地区分年龄、性别的人口,0岁,男
132,山    西,147446.0,1-5  各地区分年龄、性别的人口,0岁,男
133,内 蒙 古,89403.0,1-5  各地区分年龄、性别的人口,0岁,男
134,辽    宁,113136.0,1-5  各地区分年龄、性别的人口,0岁,男
135,吉    林,60272.0,1-5  各地区分年龄、性别的人口,0岁,男
136,黑 龙 江,61632.0,1-5  各地区分年龄、性别的人口,0岁,男
137,上    海,64748.0,1-5  各地区分年龄、性别的人口,0岁,男
138,江    苏,293718.0,1-5  各地区分年龄、性别的人口,0岁,男
139,浙    江,240618.0,1-5  各地区分年龄、性别的人口,0岁,男
140,安    徽,305006.0,1-5  各地区分年龄、性别的人口,0岁,男
141,福    建,206764.0,1-5  各地区分年龄、性别的人口,0岁,男
142,江    西,233082.0,1-5  各地区分年龄、性别的人口,0岁,男
143,山    东,458336.0,1-5  各地区分年龄、性别的人口,0岁,男
144,河    南,476347.0,1-5  各地区分年龄、性别的人口,0岁,男
145,湖    北,254264.0,1-5  各地区分年龄、性别的人口,0岁,男
146,湖    南,301447.0,1-5  各地区分年龄、性别的人口,0岁,男
147,广    东,691738.0,1-5  各地区分年龄、性别的人口,0岁,男
148,广    西,302822.0,1-5  各地区分年龄、性别的人口,0岁,男
149,海    南,57250.0,1-5  各地区分年龄、性别的人口,0岁,男
150,重    庆,124283.0,1-5  各地区分年龄、性别的人口,0岁,男
151,四    川,329691.0,1-5  各地区分年龄、性别的人口,0岁,男
152,贵    州,278841.0,1-5  各地区分年龄、性别的人口,0岁,男
153,云    南,266844.0,1-5  各地区分年龄、性别的人口,0岁,男
154,西    藏,25855.0,1-5  各地区分年龄、性别的人口,0岁,男
155,陕    西,183540.0,1-5  各地区分年龄、性别的人口,0岁,男
156,甘    肃,136254.0,1-5  各地区分年龄、性别的人口,0岁,男
157,青    海,34706.0,1-5  各地区分年龄、性别的人口,0岁,男
158,宁    夏,42661.0,1-5  各地区分年龄、性别的人口,0岁,男
159,新    疆,92597.0,1-5  各地区分年龄、性别的人口,0岁,男
160,全    国,5675648.0,1-5  各地区分年龄、性别的人口,0岁,女
161,北    京,73342.0,1-5  各地区分年龄、性别的人口,0岁,女
162,天    津,39802.0,1-5  各地区分年龄、性别的人口,0岁,女
163,河    北,290961.0,1-5  各地区分年龄、性别的人口,0岁,女
164,山    西,140301.0,1-5  各地区分年龄、性别的人口,0岁,女
165,内 蒙 古,83548.0,1-5  各地区分年龄、性别的人口,0岁,女
166,辽    宁,106944.0,1-5  各地区分年龄、性别的人口,0岁,女
167,吉    林,56167.0,1-5  各地区分年龄、性别的人口,0岁,女
168,黑 龙 江,58061.0,1-5  各地区分年龄、性别的人口,0岁,女
169,上    海,59918.0,1-5  各地区分年龄、性别的人口,0岁,女
170,江    苏,269494.0,1-5  各地区分年龄、性别的人口,0岁,女
171,浙    江,218491.0,1-5  各地区分年龄、性别的人口,0岁,女
172,安    徽,269876.0,1-5  各地区分年龄、性别的人口,0岁,女
173,福    建,174229.0,1-5  各地区分年龄、性别的人口,0岁,女
174,江    西,193740.0,1-5  各地区分年龄、性别的人口,0岁,女
175,山    东,409473.0,1-5  各地区分年龄、性别的人口,0岁,女
176,河    南,439698.0,1-5  各地区分年龄、性别的人口,0岁,女
177,湖    北,222516.0,1-5  各地区分年龄、性别的人口,0岁,女
178,湖    南,264070.0,1-5  各地区分年龄、性别的人口,0岁,女
179,广    东,599010.0,1-5  各地区分年龄、性别的人口,0岁,女
180,广    西,264556.0,1-5  各地区分年龄、性别的人口,0岁,女
181,海    南,46780.0,1-5  各地区分年龄、性别的人口,0岁,女
182,重    庆,115143.0,1-5  各地区分年龄、性别的人口,0岁,女
183,四    川,304871.0,1-5  各地区分年龄、性别的人口,0岁,女
184,贵    州,246539.0,1-5  各地区分年龄、性别的人口,0岁,女
185,云    南,248334.0,1-5  各地区分年龄、性别的人口,0岁,女
186,西    藏,24533.0,1-5  各地区分年龄、性别的人口,0岁,女
187,陕    西,169453.0,1-5  各地区分年龄、性别的人口,0岁,女
188,甘    肃,126757.0,1-5  各地区分年龄、性别的人口,0岁,女
189,青    海,32548.0,1-5  各地区分年龄、性别的人口,0岁,女
190,宁    夏,40366.0,1-5  各地区分年龄、性别的人口,0岁,女
191,新    疆,86127.0,1-5  各地区分年龄、性别的人口,0岁,女
192,全    国,65895831.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
193,北    京,863520.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
194,天    津,525966.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
195,河    北,3585183.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
196,山    西,1497313.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
197,内 蒙 古,882705.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
198,辽    宁,1216563.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
199,吉    林,652700.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
200,黑 龙 江,708902.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
201,上    海,732833.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
202,江    苏,3255415.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
203,浙    江,2492380.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
204,安    徽,3049332.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
205,福    建,2168351.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
206,江    西,2279401.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
207,山    东,5654507.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
208,河    南,5299337.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
209,湖    北,2510870.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
210,湖    南,3135571.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
211,广    东,6701847.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
212,广    西,3016790.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
213,海    南,525021.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
214,重    庆,1286191.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
215,四    川,3428595.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
216,贵    州,2480182.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
217,云    南,2550387.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
218,西    藏,253970.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
219,陕    西,1905305.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
220,甘    肃,1349008.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
221,青    海,324437.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
222,宁    夏,406356.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
223,新    疆,1156893.0,1-5  各地区分年龄、性别的人口,1-4岁,小计
224,全    国,34656922.0,1-5  各地区分年龄、性别的人口,1-4岁,男
225,北    京,447165.0,1-5  各地区分年龄、性别的人口,1-4岁,男
226,天    津,272661.0,1-5  各地区分年龄、性别的人口,1-4岁,男
227,河    北,1869601.0,1-5  各地区分年龄、性别的人口,1-4岁,男
228,山    西,767699.0,1-5  各地区分年龄、性别的人口,1-4岁,男
229,内 蒙 古,456610.0,1-5  各地区分年龄、性别的人口,1-4岁,男
230,辽    宁,627520.0,1-5  各地区分年龄、性别的人口,1-4岁,男
231,吉    林,336270.0,1-5  各地区分年龄、性别的人口,1-4岁,男
232,黑 龙 江,366042.0,1-5  各地区分年龄、性别的人口,1-4岁,男
233,上    海,381130.0,1-5  各地区分年龄、性别的人口,1-4岁,男
234,江    苏,1702238.0,1-5  各地区分年龄、性别的人口,1-4岁,男
235,浙    江,1309773.0,1-5  各地区分年龄、性别的人口,1-4岁,男
236,安    徽,1615120.0,1-5  各地区分年龄、性别的人口,1-4岁,男
237,福    建,1173993.0,1-5  各地区分年龄、性别的人口,1-4岁,男
238,江    西,1232031.0,1-5  各地区分年龄、性别的人口,1-4岁,男
239,山    东,2993437.0,1-5  各地区分年龄、性别的人口,1-4岁,男
240,河    南,2759721.0,1-5  各地区分年龄、性别的人口,1-4岁,男
241,湖    北,1336323.0,1-5  各地区分年龄、性别的人口,1-4岁,男
242,湖    南,1664289.0,1-5  各地区分年龄、性别的人口,1-4岁,男
243,广    东,3575143.0,1-5  各地区分年龄、性别的人口,1-4岁,男
244,广    西,1602251.0,1-5  各地区分年龄、性别的人口,1-4岁,男
245,海    南,284862.0,1-5  各地区分年龄、性别的人口,1-4岁,男
246,重    庆,667693.0,1-5  各地区分年龄、性别的人口,1-4岁,男
247,四    川,1777510.0,1-5  各地区分年龄、性别的人口,1-4岁,男
248,贵    州,1318228.0,1-5  各地区分年龄、性别的人口,1-4岁,男
249,云    南,1326888.0,1-5  各地区分年龄、性别的人口,1-4岁,男
250,西    藏,129722.0,1-5  各地区分年龄、性别的人口,1-4岁,男
251,陕    西,989713.0,1-5  各地区分年龄、性别的人口,1-4岁,男
252,甘    肃,699511.0,1-5  各地区分年龄、性别的人口,1-4岁,男
253,青    海,167337.0,1-5  各地区分年龄、性别的人口,1-4岁,男
254,宁    夏,210223.0,1-5  各地区分年龄、性别的人口,1-4岁,男
255,新    疆,596218.0,1-5  各地区分年龄、性别的人口,1-4岁,男
256,全    国,31238909.0,1-5  各地区分年龄、性别的人口,1-4岁,女
257,北    京,416355.0,1-5  各地区分年龄、性别的人口,1-4岁,女
258,天    津,253305.0,1-5  各地区分年龄、性别的人口,1-4岁,女
259,河    北,1715582.0,1-5  各地区分年龄、性别的人口,1-4岁,女
260,山    西,729614.0,1-5  各地区分年龄、性别的人口,1-4岁,女
261,内 蒙 古,426095.0,1-5  各地区分年龄、性别的人口,1-4岁,女
262,辽    宁,589043.0,1-5  各地区分年龄、性别的人口,1-4岁,女
263,吉    林,316430.0,1-5  各地区分年龄、性别的人口,1-4岁,女
264,黑 龙 江,342860.0,1-5  各地区分年龄、性别的人口,1-4岁,女
265,上    海,351703.0,1-5  各地区分年龄、性别的人口,1-4岁,女
266,江    苏,1553177.0,1-5  各地区分年龄、性别的人口,1-4岁,女
267,浙    江,1182607.0,1-5  各地区分年龄、性别的人口,1-4岁,女
268,安    徽,1434212.0,1-5  各地区分年龄、性别的人口,1-4岁,女
269,福    建,994358.0,1-5  各地区分年龄、性别的人口,1-4岁,女
270,江    西,1047370.0,1-5  各地区分年龄、性别的人口,1-4岁,女
271,山    东,2661070.0,1-5  各地区分年龄、性别的人口,1-4岁,女
272,河    南,2539616.0,1-5  各地区分年龄、性别的人口,1-4岁,女
273,湖    北,1174547.0,1-5  各地区分年龄、性别的人口,1-4岁,女
274,湖    南,1471282.0,1-5  各地区分年龄、性别的人口,1-4岁,女
275,广    东,3126704.0,1-5  各地区分年龄、性别的人口,1-4岁,女
276,广    西,1414539.0,1-5  各地区分年龄、性别的人口,1-4岁,女
277,海    南,240159.0,1-5  各地区分年龄、性别的人口,1-4岁,女
278,重    庆,618498.0,1-5  各地区分年龄、性别的人口,1-4岁,女
279,四    川,1651085.0,1-5  各地区分年龄、性别的人口,1-4岁,女
280,贵    州,1161954.0,1-5  各地区分年龄、性别的人口,1-4岁,女
281,云    南,1223499.0,1-5  各地区分年龄、性别的人口,1-4岁,女
282,西    藏,124248.0,1-5  各地区分年龄、性别的人口,1-4岁,女
283,陕    西,915592.0,1-5  各地区分年龄、性别的人口,1-4岁,女
284,甘    肃,649497.0,1-5  各地区分年龄、性别的人口,1-4岁,女
285,青    海,157100.0,1-5  各地区分年龄、性别的人口,1-4岁,女
286,宁    夏,196133.0,1-5  各地区分年龄、性别的人口,1-4岁,女
287,新    疆,560675.0,1-5  各地区分年龄、性别的人口,1-4岁,女
288,全    国,90244056.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
289,北    京,932953.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
290,天    津,664986.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
291,河    北,5589288.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
292,山    西,1949428.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
293,内 蒙 古,1184065.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
294,辽    宁,1660365.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
295,吉    林,960287.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
296,黑 龙 江,1087888.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
297,上    海,914022.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
298,江    苏,4712756.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
299,浙    江,3025007.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
300,安    徽,4154829.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
301,福    建,2993870.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
302,江    西,3451015.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
303,山    东,6449085.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
304,河    南,8361425.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
305,湖    北,3338298.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
306,湖    南,4648890.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
307,广    东,8562360.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
308,广    西,4335621.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
309,海    南,717973.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
310,重    庆,1695238.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
311,四    川,4604374.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
312,贵    州,3205476.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
313,云    南,3101137.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
314,西    藏,315353.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
315,陕    西,2474456.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
316,甘    肃,1679652.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
317,青    海,434439.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
318,宁    夏,495900.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
319,新    疆,2543620.0,1-5  各地区分年龄、性别的人口,5-9岁,小计
320,全    国,48017458.0,1-5  各地区分年龄、性别的人口,5-9岁,男
321,北    京,485161.0,1-5  各地区分年龄、性别的人口,5-9岁,男
322,天    津,350320.0,1-5  各地区分年龄、性别的人口,5-9岁,男
323,河    北,2975262.0,1-5  各地区分年龄、性别的人口,5-9岁,男
324,山    西,1009444.0,1-5  各地区分年龄、性别的人口,5-9岁,男
325,内 蒙 古,616732.0,1-5  各地区分年龄、性别的人口,5-9岁,男
326,辽    宁,862850.0,1-5  各地区分年龄、性别的人口,5-9岁,男
327,吉    林,498408.0,1-5  各地区分年龄、性别的人口,5-9岁,男
328,黑 龙 江,562089.0,1-5  各地区分年龄、性别的人口,5-9岁,男
329,上    海,480179.0,1-5  各地区分年龄、性别的人口,5-9岁,男
330,江    苏,2518917.0,1-5  各地区分年龄、性别的人口,5-9岁,男
331,浙    江,1612841.0,1-5  各地区分年龄、性别的人口,5-9岁,男
332,安    徽,2246453.0,1-5  各地区分年龄、性别的人口,5-9岁,男
333,福    建,1627920.0,1-5  各地区分年龄、性别的人口,5-9岁,男
334,江    西,1876684.0,1-5  各地区分年龄、性别的人口,5-9岁,男
335,山    东,3516229.0,1-5  各地区分年龄、性别的人口,5-9岁,男
336,河    南,4444479.0,1-5  各地区分年龄、性别的人口,5-9岁,男
337,湖    北,1812285.0,1-5  各地区分年龄、性别的人口,5-9岁,男
338,湖    南,2483847.0,1-5  各地区分年龄、性别的人口,5-9岁,男
339,广    东,4597464.0,1-5  各地区分年龄、性别的人口,5-9岁,男
340,广    西,2318348.0,1-5  各地区分年龄、性别的人口,5-9岁,男
341,海    南,392089.0,1-5  各地区分年龄、性别的人口,5-9岁,男
342,重    庆,884840.0,1-5  各地区分年龄、性别的人口,5-9岁,男
343,四    川,2387321.0,1-5  各地区分年龄、性别的人口,5-9岁,男
344,贵    州,1717039.0,1-5  各地区分年龄、性别的人口,5-9岁,男
345,云    南,1616275.0,1-5  各地区分年龄、性别的人口,5-9岁,男
346,西    藏,160538.0,1-5  各地区分年龄、性别的人口,5-9岁,男
347,陕    西,1299247.0,1-5  各地区分年龄、性别的人口,5-9岁,男
348,甘    肃,876391.0,1-5  各地区分年龄、性别的人口,5-9岁,男
349,青    海,223488.0,1-5  各地区分年龄、性别的人口,5-9岁,男
350,宁    夏,258040.0,1-5  各地区分年龄、性别的人口,5-9岁,男
351,新    疆,1306278.0,1-5  各地区分年龄、性别的人口,5-9岁,男
352,全    国,42226598.0,1-5  各地区分年龄、性别的人口,5-9岁,女
353,北    京,447792.0,1-5  各地区分年龄、性别的人口,5-9岁,女
354,天    津,314666.0,1-5  各地区分年龄、性别的人口,5-9岁,女
355,河    北,2614026.0,1-5  各地区分年龄、性别的人口,5-9岁,女
356,山    西,939984.0,1-5  各地区分年龄、性别的人口,5-9岁,女
357,内 蒙 古,567333.0,1-5  各地区分年龄、性别的人口,5-9岁,女
358,辽    宁,797515.0,1-5  各地区分年龄、性别的人口,5-9岁,女
359,吉    林,461879.0,1-5  各地区分年龄、性别的人口,5-9岁,女
360,黑 龙 江,525799.0,1-5  各地区分年龄、性别的人口,5-9岁,女
361,上    海,433843.0,1-5  各地区分年龄、性别的人口,5-9岁,女
362,江    苏,2193839.0,1-5  各地区分年龄、性别的人口,5-9岁,女
363,浙    江,1412166.0,1-5  各地区分年龄、性别的人口,5-9岁,女
364,安    徽,1908376.0,1-5  各地区分年龄、性别的人口,5-9岁,女
365,福    建,1365950.0,1-5  各地区分年龄、性别的人口,5-9岁,女
366,江    西,1574331.0,1-5  各地区分年龄、性别的人口,5-9岁,女
367,山    东,2932856.0,1-5  各地区分年龄、性别的人口,5-9岁,女
368,河    南,3916946.0,1-5  各地区分年龄、性别的人口,5-9岁,女
369,湖    北,1526013.0,1-5  各地区分年龄、性别的人口,5-9岁,女
370,湖    南,2165043.0,1-5  各地区分年龄、性别的人口,5-9岁,女
